"id","movie_name","movie_poster","movie_director","movie_story","movie_starring","movie_date","movie_collection","movie_source"
"1","Krrish","movie_poster/krrish.jfif","Rakesh Roshan","The films are centred, initially, on a mentally disabled boy who has an encounter with an extraterrestrial being, and later, his son, who grows up to be a reluctant superhero .","Hrithik Roshan, Priyanka Chopra, Naseeruddin Shah, Rekha, Sharat Saxena, Manini Mishra","2006-06-23","₹ 126 crore","movie_source/Krrish2006.mkv"
"2","Kaho Naa... Pyaar Hai","movie_poster/kaho_na_pyar_hai.jfif","Rakesh Roshan","The actress said that she was having a “Kaho Naa Pyaar Hai” moment, a reference to Hrithik Roshan starrer in which the protagonists get abandoned on an island.","Hrithik Roshan Ameesha Patel Anupam Kher Dalip Tahil","2000-01-14","₹276.87 crore","movie_source/Kaho_Naa..._Pyaar_Hai_2000Hrithik_Roshan.mp4"
"3","War","movie_poster/war.jpg","Siddharth Anand","Kabir, a secret agent, goes rogue after a mission to catch a terrorist goes awry. However, his boss sends Khalid, another agent and his student, to track him down.","Hrithik Roshan ... Kabir · Tiger Shroff ... Khalid · Vaani Kapoor ... Naina · Ashutosh Rana ... Colonel Luthra · Anupriya Goenka ... Aditi ·","2019-10-02","485 crores INR","movie_source/War.720p.HDRip.Bollyflix.in.mkv"
"4","Koi Mil Gaya","movie_poster/koi.jfif","Rakesh Roshan","Scientist Sanjay Mehra has created a computer from which he sends variations of the syllable om into space, hoping to attract extraterrestrial life. When he believes he has finally received a response, the scientific community ridicules him. While Sanjay is driving home, frustrated, an alien spacecraft appears overhead. He drives off the road and the car explodes, killing him. His pregnant wife, Sonia, is injured but survives; their son, Rohit, is born with a developmental disability. Sonia learns that surgery is the only cure for Rohit's disability, but it could paralyze or kill him","Rekha, Hrithik Roshan, Preity Zinta, Prem Chopra, Rajat Bedi, Johnny Lever, Mukesh Rishi, Beena Banerjee","2003-08-08","₹823.3 million","movie_source/Koi_mil_Gaya_2003.mkv"
"5","Agneepath","movie_poster/agn.jfif","Karan Malhotra","Within the island village of Mandwa, the school teacher Deenanath Chauhan is highly respected by the villagers. Extremely jealous of Deenanath's popularity in the eyes of the citizens, the village chief summons his evil son Kancha to destroy Deenanath's image in citizen's eyes. Kancha also has plans to start a drug cartel from Mandwa, knowing that the soil of Mandwa is rich for the cultivation of cocaine.","Hrithik Roshan Sanjay Dutt Rishi Kapoor Priyanka Chopra Kanika Tiwari Om Puri Zarina Wahab","2012-01-26","₹1.93 billion","False"
"6","Bang Bang","movie_poster/bang.jfif","Siddharth Anand","After a treaty between India and the UK to expedite extradition of terrorist Omar Zafar to India is passed, Col.Viren Nanda is murdered and burnt alive by Omar in London during his escape from prison. Omar, who is escorted by his trusted lieutenant Hamid Gul, declares US$5,000 million reward for an Indian thief to steal the Koh-i-Noor diamond, so as to hold up the treaty.","Hrithik Roshan Katrina Kaif Danny Denzongpa Pawan Malhotra","2014-10-02","₹332 crore[","movie_source/Bang_Bang..2014.._Hrithik_Roshan.mkv"
"7","krrish-3","movie_poster/krish_3.jfif","Rakesh Roshan","Scientist Rohit Mehra lives with his son Krishna Mehra in Mumbai. Krishna is married to Priya, a journalist for Aaj Tak. Rohit works in a research institute for the Indian government and Krishna, while moonlighting as the superhero Krrish, is regularly fired from various day jobs due to lack of attendance. Rohit is researching a device that will bring life to dead tissues by the use of solar energy. Despite several attempts, he fails to complete the experiment due to the high intensity of sun rays. On a usual day, Krishna loses his job from the security wing of a company when he hears news about an aeroplane whose front tyres are stuck due to some malfunctioning which creates a high risk, ev","Hrithik Roshan Vivek Oberoi Priyanka Chopra Jonas","2013-11-01","₹393.37 crore","movie_source/Krrish_3_2013.mkv"
"8","Dhoom 2","movie_poster/dhoom2.jfif","Sanjay Gadhvi","The film opens in the Namib Desert. Mr. A skydives onto a train that is carrying the Queen Elizabeth II. He steals her crown by disguising himself as the Queen, beats her guards easily, and escapes. ACP Jai Dixit and the newly promoted Sub-Inspector Ali Akbar Khan are introduced to Shonali Bose, a special officer assigned to investigate Mr. A's case, who also happens to be a former classmate of Jai. After the initial investigation, Dixit analyses the underlying trend in Mr. A's heists. He concludes that the theft will follow in one of two famous Mumbai city museums. When Dixit realizes that the artifact in the museum he is guarding happens to be imperfect, he rushes to the other museum, wher","Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra","2006-11-24","₹1.50 billion","False"
"9","Kites","movie_poster/kites.jfif","Anurag Basu","Jay Ray (Hrithik Roshan) is a dance teacher in Las Vegas, Nevada. As a sideline, he marries immigrant women to get them green cards in exchange for money. When Gina (Kangana Ranaut), the rich daughter of a powerful Anglo-Indian casino owner Bob Grover (Kabir Bedi), falls for him, Jay goes along to marry into money. He discovers that his future brother-in-law, the vicious, homicidal Tony (Nicholas Brown), is about to marry a Mexican woman named Natasha (Bárbara Mori), whom Jay knows as Linda, the last of the immigrant women he married. On the night before ""Natasha"" and Tony's wedding, Linda and Jay humorously agree to a ""divorce"" that night.","Hrithik Roshan Barbara Mori Kangana Ranaut Kabir Bedi Nicholas Brown","2010-05-21","₹48.33 crore","False"
"10","Zindagi Na Milegi Dobara","movie_poster/znmd.jfif","Zoya Akhtar","The film opens with Kabir Dewan proposing to his girlfriend Natasha Arora. Their families meet at their engagement party where Natasha learns that Kabir is planning a three-week bachelor party road trip to Spain with his school friends – Imran Quereshi, an advertisement copywriter; and Arjun Saluja, a financial broker who is working in London. Kabir says the three friends have a long-standing pact, and that during the road trip each of them will pick an adventure sport that all three will try together. Arjun is initially reluctant to take the trip as he does not want to miss work. Imran secretly plans to find his estranged biological father Salman Habib, an artist who lives in Spain.","Hrithik Roshan Abhay Deol Farhan Akhtar Katrina Kaif Kalki Koechlin","2011-07-15","₹153 crore","movie_source/zindagi_na_milegi_dobara_2011.mkv"
